净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.256,1.256,1.45%,开放申购,开放赎回,
2022-03-29,1.238,1.238,-0.21%,开放申购,开放赎回,
2022-03-28,1.2406,1.2406,0.84%,开放申购,开放赎回,
2022-03-25,1.2303,1.2303,-1.39%,开放申购,开放赎回,
2022-03-24,1.2476,1.2476,0.04%,开放申购,开放赎回,
2022-03-23,1.2471,1.2471,-0.78%,开放申购,开放赎回,
2022-03-22,1.2569,1.2569,3.91%,开放申购,开放赎回,
2022-03-21,1.2096,1.2096,-1.79%,开放申购,开放赎回,
2022-03-18,1.2317,1.2317,0.88%,开放申购,开放赎回,
2022-03-17,1.2209,1.2209,11.63%,开放申购,开放赎回,
2022-03-16,1.0937,1.0937,8.22%,开放申购,开放赎回,
2022-03-15,1.0106,1.0106,-9.79%,开放申购,开放赎回,
2022-03-14,1.1203,1.1203,-7.30%,开放申购,开放赎回,
2022-03-11,1.2085,1.2085,-1.80%,开放申购,开放赎回,
2022-03-10,1.2306,1.2306,0.27%,开放申购,开放赎回,
2022-03-09,1.2273,1.2273,-0.46%,开放申购,开放赎回,
2022-03-08,1.233,1.233,-5.94%,开放申购,开放赎回,
2022-03-07,1.3109,1.3109,-0.12%,开放申购,开放赎回,
2022-03-04,1.3125,1.3125,-0.97%,开放申购,开放赎回,
2022-03-03,1.3253,1.3253,2.63%,开放申购,开放赎回,
2021-12-28,1.1956,1.1956,0.74%,开放申购,开放赎回,
2021-12-27,1.1868,1.1868,-0.03%,暂停申购,暂停赎回,
2021-12-24,1.1872,1.1872,-0.63%,暂停申购,暂停赎回,
2021-12-23,1.1947,1.1947,1.85%,开放申购,开放赎回,
2021-12-22,1.173,1.173,-0.40%,开放申购,开放赎回,
2021-12-21,1.1777,1.1777,1.03%,开放申购,开放赎回,
2021-12-20,1.1657,1.1657,-3.16%,开放申购,开放赎回,
2021-12-17,1.2037,1.2037,-0.07%,开放申购,开放赎回,
2021-12-16,1.2045,1.2045,3.44%,开放申购,开放赎回,
2021-12-15,1.1644,1.1644,0.52%,开放申购,开放赎回,
2021-12-14,1.1584,1.1584,-2.02%,开放申购,开放赎回,
2021-12-13,1.1823,1.1823,0.66%,开放申购,开放赎回,
2021-12-10,1.1746,1.1746,-1.09%,开放申购,开放赎回,
2021-12-09,1.1875,1.1875,2.05%,开放申购,开放赎回,
2021-12-08,1.1637,1.1637,1.56%,开放申购,开放赎回,
2021-12-07,1.1458,1.1458,1.66%,开放申购,开放赎回,
2021-12-06,1.1271,1.1271,-0.70%,开放申购,开放赎回,
2021-12-03,1.135,1.135,3.13%,开放申购,开放赎回,
2021-12-02,1.1006,1.1006,-0.28%,开放申购,开放赎回,
2021-12-01,1.1037,1.1037,2.32%,开放申购,开放赎回,
2021-11-30,1.0787,1.0787,-0.76%,开放申购,开放赎回,
2021-11-29,1.087,1.087,1.27%,开放申购,开放赎回,
2021-11-26,1.0734,1.0734,-2.30%,开放申购,开放赎回,
2021-11-25,1.0987,1.0987,0.28%,开放申购,开放赎回,
2021-11-24,1.0956,1.0956,1.57%,开放申购,开放赎回,
2021-11-23,1.0787,1.0787,0.41%,开放申购,开放赎回,
2021-11-22,1.0743,1.0743,-0.59%,开放申购,开放赎回,
2021-11-19,1.0807,1.0807,0.06%,开放申购,开放赎回,
2021-11-18,1.0801,1.0801,-0.88%,开放申购,开放赎回,
2021-11-17,1.0897,1.0897,-0.08%,开放申购,开放赎回,
2021-11-16,1.0906,1.0906,0.29%,开放申购,开放赎回,
2021-11-15,1.0874,1.0874,-1.61%,开放申购,开放赎回,
2021-11-12,1.1052,1.1052,-1.07%,开放申购,开放赎回,
2021-11-11,1.1171,1.1171,1.20%,开放申购,开放赎回,
2021-11-10,1.1038,1.1038,-0.67%,开放申购,开放赎回,
2021-11-09,1.1112,1.1112,0.21%,开放申购,开放赎回,
2021-11-08,1.1089,1.1089,0.83%,开放申购,开放赎回,
2021-11-05,1.0998,1.0998,-2.59%,开放申购,开放赎回,
2021-11-04,1.1291,1.1291,-0.12%,开放申购,开放赎回,
2021-11-03,1.1305,1.1305,0.51%,开放申购,开放赎回,
2021-09-28,1.2373,1.2373,4.00%,开放申购,开放赎回,
2021-09-27,1.1897,1.1897,-2.22%,开放申购,开放赎回,
2021-09-24,1.2167,1.2167,-1.15%,开放申购,开放赎回,
2021-09-23,1.2308,1.2308,4.25%,开放申购,开放赎回,
2021-09-22,1.1806,1.1806,-1.37%,暂停申购,暂停赎回,
2021-09-17,1.197,1.197,0.10%,暂停申购,暂停赎回,
2021-09-16,1.1958,1.1958,-2.16%,暂停申购,暂停赎回,
