FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.2793,1.2793,,,1,2.89,暂停申购,暂停赎回,,,,
2022-04-28,1.2434,1.2434,,,1,2.56,暂停申购,暂停赎回,,,,
2022-04-27,1.2124,1.2124,,,1,1.35,开放申购,开放赎回,,,,
2022-04-26,1.1962,1.1962,,,1,-0.01,开放申购,开放赎回,,,,
2022-04-25,1.1963,1.1963,,,1,-4.63,开放申购,开放赎回,,,,
2022-04-22,1.2544,1.2544,,,1,1.35,开放申购,开放赎回,,,,
2022-04-21,1.2377,1.2377,,,1,-1.89,开放申购,开放赎回,,,,
2022-04-20,1.2615,1.2615,,,1,-3.74,开放申购,开放赎回,,,,
2022-04-19,1.3105,1.3105,,,1,-1.38,开放申购,开放赎回,,,,
2022-04-18,1.3288,1.3288,,,1,-0.21,暂停申购,暂停赎回,,,,
2022-04-15,1.3316,1.3316,,,1,0.48,暂停申购,暂停赎回,,,,
2022-04-14,1.3253,1.3253,,,1,1.87,开放申购,开放赎回,,,,
2022-04-13,1.3010,1.3010,,,1,1.94,开放申购,开放赎回,,,,
2022-04-12,1.2762,1.2762,,,1,-0.65,开放申购,开放赎回,,,,
2022-04-11,1.2845,1.2845,,,1,-3.06,开放申购,开放赎回,,,,
2022-04-08,1.3250,1.3250,,,1,2.47,开放申购,开放赎回,,,,
2022-04-07,1.2931,1.2931,,,1,-1.84,开放申购,开放赎回,,,,
2022-04-06,1.3174,1.3174,,,1,4.90,开放申购,开放赎回,,,,
2022-04-01,1.2559,1.2559,,,1,0.89,暂停申购,暂停赎回,,,,
2022-03-31,1.2448,1.2448,,,1,-0.89,暂停申购,暂停赎回,,,,
2022-03-30,1.2560,1.2560,,,1,1.45,开放申购,开放赎回,,,,
2022-03-29,1.2380,1.2380,,,1,-0.21,开放申购,开放赎回,,,,
2022-03-28,1.2406,1.2406,,,1,0.84,开放申购,开放赎回,,,,
2022-03-25,1.2303,1.2303,,,1,-1.39,开放申购,开放赎回,,,,
2022-03-24,1.2476,1.2476,,,1,0.04,开放申购,开放赎回,,,,
2022-03-23,1.2471,1.2471,,,1,-0.78,开放申购,开放赎回,,,,
2022-03-22,1.2569,1.2569,,,1,3.91,开放申购,开放赎回,,,,
2022-03-21,1.2096,1.2096,,,1,-1.79,开放申购,开放赎回,,,,
2022-03-18,1.2317,1.2317,,,1,0.88,开放申购,开放赎回,,,,
2022-03-17,1.2209,1.2209,,,1,11.63,开放申购,开放赎回,,,,
2022-03-16,1.0937,1.0937,,,1,8.22,开放申购,开放赎回,,,,
2022-03-15,1.0106,1.0106,,,1,-9.79,开放申购,开放赎回,,,,
2022-03-14,1.1203,1.1203,,,1,-7.30,开放申购,开放赎回,,,,
2022-03-11,1.2085,1.2085,,,1,-1.80,开放申购,开放赎回,,,,
2022-03-10,1.2306,1.2306,,,1,0.27,开放申购,开放赎回,,,,
2022-03-09,1.2273,1.2273,,,1,-0.46,开放申购,开放赎回,,,,
2022-03-08,1.2330,1.2330,,,1,-5.94,开放申购,开放赎回,,,,
2022-03-07,1.3109,1.3109,,,1,-0.12,开放申购,开放赎回,,,,
2022-03-04,1.3125,1.3125,,,1,-0.97,开放申购,开放赎回,,,,
2022-03-03,1.3253,1.3253,,,1,2.63,开放申购,开放赎回,,,,
2022-03-02,1.2913,1.2913,,,1,-0.15,开放申购,开放赎回,,,,
2022-03-01,1.2932,1.2932,,,1,1.29,开放申购,开放赎回,,,,
2022-02-28,1.2767,1.2767,,,1,-0.59,开放申购,开放赎回,,,,
2022-02-25,1.2843,1.2843,,,1,-2.37,开放申购,开放赎回,,,,
2022-02-24,1.3155,1.3155,,,1,-2.51,开放申购,开放赎回,,,,
2022-02-23,1.3493,1.3493,,,1,-1.53,开放申购,开放赎回,,,,
