FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.8846,1.8846,,,1,1.34,开放申购,开放赎回,,,,
2022-04-28,1.8596,1.8596,,,1,2.67,开放申购,开放赎回,,,,
2022-04-27,1.8113,1.8113,,,1,2.51,开放申购,开放赎回,,,,
2022-04-26,1.7669,1.7669,,,1,-1.41,开放申购,开放赎回,,,,
2022-04-25,1.7921,1.7921,,,1,-4.61,开放申购,开放赎回,,,,
2022-04-22,1.8787,1.8787,,,1,1.47,开放申购,开放赎回,,,,
2022-04-21,1.8515,1.8515,,,1,-2.06,开放申购,开放赎回,,,,
2022-04-20,1.8904,1.8904,,,1,-2.99,开放申购,开放赎回,,,,
2022-04-19,1.9486,1.9486,,,1,1.34,开放申购,开放赎回,,,,
2022-04-18,1.9228,1.9228,,,1,-1.80,开放申购,开放赎回,,,,
2022-04-15,1.9580,1.9580,,,1,-0.96,开放申购,开放赎回,,,,
2022-04-14,1.9769,1.9769,,,1,1.81,开放申购,开放赎回,,,,
2022-04-13,1.9417,1.9417,,,1,0.49,开放申购,开放赎回,,,,
2022-04-12,1.9322,1.9322,,,1,-0.14,开放申购,开放赎回,,,,
2022-04-11,1.9350,1.9350,,,1,-1.92,开放申购,开放赎回,,,,
2022-04-08,1.9729,1.9729,,,1,1.26,开放申购,开放赎回,,,,
2022-04-07,1.9484,1.9484,,,1,-1.32,开放申购,开放赎回,,,,
2022-04-06,1.9745,1.9745,,,1,1.47,开放申购,开放赎回,,,,
2022-04-01,1.9459,1.9459,,,1,1.58,开放申购,开放赎回,,,,
2022-03-31,1.9156,1.9156,,,1,0.84,开放申购,开放赎回,,,,
2022-03-30,1.8997,1.8997,,,1,1.11,开放申购,开放赎回,,,,
2022-03-29,1.8788,1.8788,,,1,0.56,开放申购,开放赎回,,,,
2022-03-28,1.8684,1.8684,,,1,1.51,开放申购,开放赎回,,,,
2022-03-25,1.8406,1.8406,,,1,-0.43,开放申购,开放赎回,,,,
2022-03-24,1.8485,1.8485,,,1,0.12,开放申购,开放赎回,,,,
2022-03-23,1.8463,1.8463,,,1,-0.17,开放申购,开放赎回,,,,
2022-03-22,1.8495,1.8495,,,1,1.87,开放申购,开放赎回,,,,
2022-03-21,1.8155,1.8155,,,1,-0.12,开放申购,开放赎回,,,,
2022-03-18,1.8176,1.8176,,,1,2.90,开放申购,开放赎回,,,,
2022-03-17,1.7664,1.7664,,,1,1.67,开放申购,开放赎回,,,,
2022-03-16,1.7374,1.7374,,,1,2.57,开放申购,开放赎回,,,,
2022-03-15,1.6939,1.6939,,,1,-6.03,开放申购,开放赎回,,,,
2022-03-14,1.8026,1.8026,,,1,-2.55,开放申购,开放赎回,,,,
2022-03-11,1.8497,1.8497,,,1,0.21,开放申购,开放赎回,,,,
2022-03-10,1.8459,1.8459,,,1,1.16,开放申购,开放赎回,,,,
2022-03-09,1.8248,1.8248,,,1,-0.47,开放申购,开放赎回,,,,
2022-03-08,1.8334,1.8334,,,1,-3.47,开放申购,开放赎回,,,,
2022-03-07,1.8993,1.8993,,,1,-0.79,开放申购,开放赎回,,,,
2022-03-04,1.9145,1.9145,,,1,-0.63,开放申购,开放赎回,,,,
2022-03-03,1.9267,1.9267,,,1,1.38,开放申购,开放赎回,,,,
2022-03-02,1.9005,1.9005,,,1,0.78,开放申购,开放赎回,,,,
2022-03-01,1.8857,1.8857,,,1,1.05,开放申购,开放赎回,,,,
2022-02-28,1.8661,1.8661,,,1,0.57,开放申购,开放赎回,,,,
2022-02-25,1.8556,1.8556,,,1,-0.16,开放申购,开放赎回,,,,
2022-02-24,1.8585,1.8585,,,1,-1.86,开放申购,开放赎回,,,,
2022-02-23,1.8937,1.8937,,,1,-0.70,开放申购,开放赎回,,,,
2022-02-22,1.9071,1.9071,,,1,-0.40,开放申购,开放赎回,,,,
2022-02-21,1.9148,1.9148,,,1,0.04,开放申购,开放赎回,,,,
2022-02-18,1.9141,1.9141,,,1,2.29,开放申购,开放赎回,,,,
2022-02-17,1.8713,1.8713,,,1,-0.15,开放申购,开放赎回,,,,
2022-02-16,1.8742,1.8742,,,1,0.86,开放申购,开放赎回,,,,
2022-02-15,1.8583,1.8583,,,1,-0.86,开放申购,开放赎回,,,,
2022-02-14,1.8745,1.8745,,,1,-1.88,开放申购,开放赎回,,,,
2022-02-11,1.9104,1.9104,,,1,0.32,开放申购,开放赎回,,,,
2022-02-10,1.9044,1.9044,,,1,1.45,开放申购,开放赎回,,,,
2022-02-09,1.8772,1.8772,,,1,0.39,开放申购,开放赎回,,,,
2022-02-08,1.8699,1.8699,,,1,2.28,开放申购,开放赎回,,,,
2022-02-07,1.8283,1.8283,,,1,3.21,开放申购,开放赎回,,,,
2022-01-28,1.7714,1.7714,,,1,-1.24,开放申购,开放赎回,,,,
2022-01-27,1.7937,1.7937,,,1,-0.69,开放申购,开放赎回,,,,
2022-01-26,1.8062,1.8062,,,1,0.31,开放申购,开放赎回,,,,
2022-01-25,1.8006,1.8006,,,1,-2.84,开放申购,开放赎回,,,,
2022-01-24,1.8532,1.8532,,,1,0.18,开放申购,开放赎回,,,,
2022-01-21,1.8498,1.8498,,,1,-0.62,开放申购,开放赎回,,,,
2022-01-20,1.8613,1.8613,,,1,-0.06,开放申购,开放赎回,,,,
2022-01-19,1.8625,1.8625,,,1,0.71,开放申购,开放赎回,,,,
2022-01-18,1.8494,1.8494,,,1,2.15,开放申购,开放赎回,,,,
2022-01-17,1.8105,1.8105,,,1,0.33,开放申购,开放赎回,,,,
2022-01-14,1.8045,1.8045,,,1,-1.93,开放申购,开放赎回,,,,
2022-01-13,1.8400,1.8400,,,1,-0.86,开放申购,开放赎回,,,,
2022-01-12,1.8559,1.8559,,,1,0.13,开放申购,开放赎回,,,,
2022-01-11,1.8535,1.8535,,,1,0.47,开放申购,开放赎回,,,,
2022-01-10,1.8448,1.8448,,,1,0.94,开放申购,开放赎回,,,,
2022-01-07,1.8276,1.8276,,,1,0.59,开放申购,开放赎回,,,,
2022-01-06,1.8168,1.8168,,,1,0.33,开放申购,开放赎回,,,,
2022-01-05,1.8108,1.8108,,,1,-0.60,开放申购,开放赎回,,,,
2022-01-04,1.8217,1.8217,,,1,0.38,开放申购,开放赎回,,,,
2021-12-31,1.8148,1.8148,,,1,0.92,开放申购,开放赎回,,,,
2021-12-30,1.7982,1.7982,,,1,0.21,开放申购,开放赎回,,,,
2021-12-29,1.7944,1.7944,,,1,-0.60,开放申购,开放赎回,,,,
2021-12-28,1.8052,1.8052,,,1,-0.82,开放申购,开放赎回,,,,
2021-12-27,1.8202,1.8202,,,1,-0.29,开放申购,开放赎回,,,,
2021-12-24,1.8255,1.8255,,,1,-1.00,开放申购,开放赎回,,,,
2021-12-23,1.8439,1.8439,,,1,1.09,开放申购,开放赎回,,,,
2021-12-22,1.8240,1.8240,,,1,-0.20,开放申购,开放赎回,,,,
2021-12-21,1.8276,1.8276,,,1,1.35,开放申购,开放赎回,,,,
2021-12-20,1.8033,1.8033,,,1,-1.48,开放申购,开放赎回,,,,
2021-12-17,1.8303,1.8303,,,1,-0.35,开放申购,开放赎回,,,,
2021-12-16,1.8367,1.8367,,,1,2.16,开放申购,开放赎回,,,,
2021-12-15,1.7979,1.7979,,,1,1.42,开放申购,开放赎回,,,,
2021-12-14,1.7728,1.7728,,,1,-1.23,开放申购,开放赎回,,,,
2021-12-13,1.7949,1.7949,,,1,0.41,开放申购,开放赎回,,,,
2021-12-10,1.7875,1.7875,,,1,-0.74,开放申购,开放赎回,,,,
2021-12-09,1.8008,1.8008,,,1,0.03,开放申购,开放赎回,,,,
2021-12-08,1.8003,1.8003,,,1,0.32,开放申购,开放赎回,,,,
2021-12-07,1.7946,1.7946,,,1,1.06,开放申购,开放赎回,,,,
2021-12-06,1.7758,1.7758,,,1,-0.49,开放申购,开放赎回,,,,
2021-12-03,1.7846,1.7846,,,1,1.13,开放申购,开放赎回,,,,
2021-12-02,1.7646,1.7646,,,1,0.60,开放申购,开放赎回,,,,
2021-12-01,1.7540,1.7540,,,1,1.31,开放申购,开放赎回,,,,
2021-11-30,1.7314,1.7314,,,1,-0.12,开放申购,开放赎回,,,,
2021-11-29,1.7334,1.7334,,,1,-0.45,开放申购,开放赎回,,,,
2021-11-26,1.7413,1.7413,,,1,-0.41,开放申购,开放赎回,,,,
2021-11-25,1.7485,1.7485,,,1,-0.44,开放申购,开放赎回,,,,
2021-11-24,1.7562,1.7562,,,1,1.00,开放申购,开放赎回,,,,
2021-11-23,1.7388,1.7388,,,1,0.68,开放申购,开放赎回,,,,
2021-11-22,1.7270,1.7270,,,1,-0.09,开放申购,开放赎回,,,,
2021-11-19,1.7286,1.7286,,,1,2.10,开放申购,开放赎回,,,,
2021-11-18,1.6930,1.6930,,,1,-0.04,开放申购,开放赎回,,,,
2021-11-17,1.6937,1.6937,,,1,0.17,开放申购,开放赎回,,,,
2021-11-16,1.6908,1.6908,,,1,-1.06,开放申购,开放赎回,,,,
2021-11-15,1.7090,1.7090,,,1,-0.22,开放申购,开放赎回,,,,
2021-11-12,1.7128,1.7128,,,1,-0.36,开放申购,开放赎回,,,,
2021-11-11,1.7190,1.7190,,,1,2.05,开放申购,开放赎回,,,,
2021-11-10,1.6844,1.6844,,,1,-0.30,开放申购,开放赎回,,,,
2021-11-09,1.6895,1.6895,,,1,-0.39,开放申购,开放赎回,,,,
2021-11-08,1.6961,1.6961,,,1,0.30,开放申购,开放赎回,,,,
2021-11-05,1.6910,1.6910,,,1,-2.40,开放申购,开放赎回,,,,
2021-11-04,1.7326,1.7326,,,1,-0.43,开放申购,开放赎回,,,,
2021-11-03,1.7400,1.7400,,,1,1.80,开放申购,开放赎回,,,,
2021-11-02,1.7092,1.7092,,,1,-2.62,开放申购,开放赎回,,,,
2021-11-01,1.7551,1.7551,,,1,0.35,开放申购,开放赎回,,,,
2021-10-29,1.7489,1.7489,,,1,-0.42,开放申购,开放赎回,,,,
2021-10-28,1.7563,1.7563,,,1,-3.04,开放申购,开放赎回,,,,
2021-10-27,1.8114,1.8114,,,1,-1.47,开放申购,开放赎回,,,,
2021-10-26,1.8384,1.8384,,,1,-0.51,开放申购,开放赎回,,,,
2021-10-25,1.8479,1.8479,,,1,0.43,开放申购,开放赎回,,,,
2021-10-22,1.8399,1.8399,,,1,-1.97,开放申购,开放赎回,,,,
2021-10-21,1.8768,1.8768,,,1,1.39,开放申购,开放赎回,,,,
2021-10-20,1.8511,1.8511,,,1,-1.88,开放申购,开放赎回,,,,
2021-10-19,1.8866,1.8866,,,1,0.57,开放申购,开放赎回,,,,
2021-10-18,1.8759,1.8759,,,1,2.00,开放申购,开放赎回,,,,
2021-10-15,1.8391,1.8391,,,1,1.24,开放申购,开放赎回,,,,
2021-10-14,1.8165,1.8165,,,1,-0.92,开放申购,开放赎回,,,,
2021-10-13,1.8333,1.8333,,,1,-2.09,开放申购,开放赎回,,,,
2021-10-12,1.8724,1.8724,,,1,-1.59,开放申购,开放赎回,,,,
2021-10-11,1.9026,1.9026,,,1,0.65,开放申购,开放赎回,,,,
2021-10-08,1.8904,1.8904,,,1,-0.54,开放申购,开放赎回,,,,
2021-09-30,1.9006,1.9006,,,1,1.53,开放申购,开放赎回,,,,
2021-09-29,1.8719,1.8719,,,1,-3.56,开放申购,开放赎回,,,,
