FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,1.0710,1.7830,,,1,3.38,开放申购,开放赎回,,,,
2022-04-28,1.0360,1.7610,,,1,3.39,开放申购,开放赎回,,,,
2022-04-27,1.0020,1.7390,,,1,-2.62,开放申购,开放赎回,,,,
2022-04-26,1.0290,1.7560,,,1,0.59,开放申购,开放赎回,,,,
2022-04-25,1.0230,1.7530,,,1,-4.84,开放申购,开放赎回,,,,
2022-04-22,1.0750,1.7850,,,1,2.19,开放申购,开放赎回,,,,
2022-04-21,1.0520,1.7710,,,1,-1.50,开放申购,开放赎回,,,,
2022-04-20,1.0680,1.7810,,,1,-5.07,开放申购,开放赎回,,,,
2022-04-19,1.1250,1.8170,,,1,0.18,开放申购,开放赎回,,,,
2022-04-18,1.1230,1.8150,,,1,-3.69,开放申购,开放赎回,,,,
2022-04-15,1.1660,1.8430,,,1,1.04,开放申购,开放赎回,,,,
2022-04-14,1.1540,1.8350,,,1,4.15,开放申购,开放赎回,,,,
2022-04-13,1.1080,1.8060,,,1,0.00,开放申购,开放赎回,,,,
2022-04-12,1.1080,1.8060,,,1,-2.72,开放申购,开放赎回,,,,
2022-04-11,1.1390,1.8260,,,1,-3.06,开放申购,开放赎回,,,,
2022-04-08,1.1750,1.8480,,,1,2.35,开放申购,开放赎回,,,,
2022-04-07,1.1480,1.8310,,,1,-3.45,开放申购,开放赎回,,,,
2022-04-06,1.1890,1.8570,,,1,2.50,开放申购,开放赎回,,,,
2022-04-01,1.1600,1.8390,,,1,3.48,开放申购,开放赎回,,,,
2022-03-31,1.1210,1.8140,,,1,1.26,开放申购,开放赎回,,,,
2022-03-30,1.1070,1.8050,,,1,5.73,开放申购,开放赎回,,,,
2022-03-29,1.0470,1.7680,,,1,-1.78,开放申购,开放赎回,,,,
2022-03-28,1.0660,1.7800,,,1,2.30,开放申购,开放赎回,,,,
2022-03-25,1.0420,1.7640,,,1,-0.38,开放申购,开放赎回,,,,
2022-03-24,1.0460,1.7670,,,1,-1.23,开放申购,开放赎回,,,,
2022-03-23,1.0590,1.7750,,,1,2.22,开放申购,开放赎回,,,,
2022-03-22,1.0360,1.7610,,,1,3.70,开放申购,开放赎回,,,,
2022-03-21,0.9990,1.7370,,,1,-1.09,开放申购,开放赎回,,,,
2022-03-18,1.0100,1.7440,,,1,5.10,开放申购,开放赎回,,,,
2022-03-17,0.9610,1.7130,,,1,3.89,开放申购,开放赎回,,,,
2022-03-16,0.9250,1.6910,,,1,2.89,开放申购,开放赎回,,,,
2022-03-15,0.8990,1.6740,,,1,-7.70,开放申购,开放赎回,,,,
2022-03-14,0.9740,1.7220,,,1,-1.52,开放申购,开放赎回,,,,
2022-03-11,0.9890,1.7310,,,1,0.30,开放申购,开放赎回,,,,
2022-03-10,0.9860,1.7290,,,1,0.31,开放申购,开放赎回,,,,
2022-03-09,0.9830,1.7270,,,1,-3.53,开放申购,开放赎回,,,,
2022-03-08,1.0190,1.7500,,,1,-3.23,开放申购,开放赎回,,,,
2022-03-07,1.0530,1.7710,,,1,0.10,开放申购,开放赎回,,,,
2022-03-04,1.0520,1.7710,,,1,-0.94,开放申购,开放赎回,,,,
2022-03-03,1.0620,1.7770,,,1,2.12,开放申购,开放赎回,,,,
2022-03-02,1.0400,1.7630,,,1,0.68,开放申购,开放赎回,,,,
2022-03-01,1.0330,1.7590,,,1,1.08,开放申购,开放赎回,,,,
2022-02-28,1.0220,1.7520,,,1,-0.68,开放申购,开放赎回,,,,
2022-02-25,1.0290,1.7560,,,1,-0.87,开放申购,开放赎回,,,,
2022-02-24,1.0380,1.7620,,,1,-1.61,开放申购,开放赎回,,,,
2022-02-23,1.0550,1.7730,,,1,-1.77,开放申购,开放赎回,,,,
2022-02-22,1.0740,1.7850,,,1,-0.56,开放申购,开放赎回,,,,
2022-02-21,1.0800,1.7880,,,1,0.75,开放申购,开放赎回,,,,
2022-02-18,1.0720,1.7830,,,1,3.98,开放申购,开放赎回,,,,
2022-02-17,1.0310,1.7580,,,1,-1.62,开放申购,开放赎回,,,,
2022-02-16,1.0480,1.7680,,,1,1.16,开放申购,开放赎回,,,,
2022-02-15,1.0360,1.7610,,,1,-1.15,开放申购,开放赎回,,,,
2022-02-14,1.0480,1.7680,,,1,-3.14,开放申购,开放赎回,,,,
2022-02-11,1.0820,1.7900,,,1,0.19,开放申购,开放赎回,,,,
2022-02-10,1.0800,1.7880,,,1,1.50,开放申购,开放赎回,,,,
2022-02-09,1.0640,1.7780,,,1,-0.47,开放申购,开放赎回,,,,
2022-02-08,1.0690,1.7810,,,1,0.56,开放申购,开放赎回,,,,
2022-02-07,1.0630,1.7780,,,1,1.05,开放申购,开放赎回,,,,
2022-01-28,1.0520,1.7710,,,1,-0.57,开放申购,开放赎回,,,,
2022-01-27,1.0580,1.7750,,,1,-0.94,开放申购,开放赎回,,,,
2022-01-26,1.0680,1.7810,,,1,0.09,开放申购,开放赎回,,,,
2022-01-25,1.0670,1.7800,,,1,-3.18,开放申购,开放赎回,,,,
2022-01-24,1.1020,1.8020,,,1,0.82,开放申购,开放赎回,,,,
2022-01-21,1.0930,1.7970,,,1,-0.82,开放申购,开放赎回,,,,
2022-01-20,1.1020,1.8020,,,1,0.18,开放申购,开放赎回,,,,
2022-01-19,1.1000,1.8010,,,1,0.82,开放申购,开放赎回,,,,
2022-01-18,1.0910,1.7950,,,1,2.83,开放申购,开放赎回,,,,
2022-01-17,1.0610,1.7760,,,1,1.43,开放申购,开放赎回,,,,
2022-01-14,1.0460,1.7670,,,1,-2.70,开放申购,开放赎回,,,,
2022-01-13,1.0750,1.7850,,,1,-2.01,开放申购,开放赎回,,,,
2022-01-12,1.0970,1.7990,,,1,-0.72,开放申购,开放赎回,,,,
2022-01-11,1.1050,1.8040,,,1,0.18,开放申购,开放赎回,,,,
2022-01-10,1.1030,1.8030,,,1,1.29,开放申购,开放赎回,,,,
2022-01-07,1.0890,1.7940,,,1,2.64,开放申购,开放赎回,,,,
2022-01-06,1.0610,1.7760,,,1,-0.84,开放申购,开放赎回,,,,
2022-01-05,1.0700,1.7820,,,1,1.33,开放申购,开放赎回,,,,
2022-01-04,1.0560,1.7730,,,1,1.44,开放申购,开放赎回,,,,
2021-12-31,1.0410,1.7640,,,1,1.76,开放申购,开放赎回,,,,
2021-12-30,1.0230,1.7530,,,1,0.00,开放申购,开放赎回,,,,
2021-12-29,1.0230,1.7530,,,1,-0.78,开放申购,开放赎回,,,,
2021-12-28,1.0310,1.7580,,,1,-0.39,开放申购,开放赎回,,,,
2021-12-27,1.0350,1.7600,,,1,0.78,开放申购,开放赎回,,,,
2021-12-24,1.0270,1.7550,,,1,-0.10,开放申购,开放赎回,,,,
2021-12-23,1.0280,1.7560,,,1,-0.87,开放申购,开放赎回,,,,
2021-12-22,1.0370,1.7610,,,1,-1.33,开放申购,开放赎回,,,,
2021-12-21,1.0510,1.7700,,,1,4.58,开放申购,开放赎回,,,,
2021-12-20,1.0050,1.7410,,,1,0.50,开放申购,开放赎回,,,,
2021-12-17,1.0000,1.7380,,,1,-0.10,开放申购,开放赎回,,,,
2021-12-16,1.0010,1.7390,,,1,0.70,开放申购,开放赎回,,,,
2021-12-15,0.9940,1.7340,,,1,0.81,开放申购,开放赎回,,,,
2021-12-14,0.9860,1.7290,,,1,-1.60,开放申购,开放赎回,,,,
2021-12-13,1.0020,1.7390,,,1,-1.09,开放申购,开放赎回,,,,
2021-12-10,1.0130,1.7460,,,1,-1.46,开放申购,开放赎回,,,,
2021-12-09,1.0280,1.7560,,,1,2.19,开放申购,开放赎回,,,,
2021-12-08,1.0060,1.7420,,,1,-0.10,开放申购,开放赎回,,,,
2021-12-07,1.0070,1.7420,,,1,1.41,开放申购,开放赎回,,,,
2021-12-06,0.9930,1.7340,,,1,0.81,开放申购,开放赎回,,,,
2021-12-03,0.9850,1.7290,,,1,1.34,开放申购,开放赎回,,,,
2021-12-02,0.9720,1.7200,,,1,0.93,开放申购,开放赎回,,,,
2021-12-01,0.9630,1.7150,,,1,1.69,开放申购,开放赎回,,,,
2021-11-30,0.9470,1.7050,,,1,-0.63,开放申购,开放赎回,,,,
2021-11-29,0.9530,1.7080,,,1,-1.24,开放申购,开放赎回,,,,
2021-11-26,0.9650,1.7160,,,1,-0.92,开放申购,开放赎回,,,,
2021-11-25,0.9740,1.7220,,,1,-0.71,开放申购,开放赎回,,,,
2021-11-24,0.9810,1.7260,,,1,0.93,开放申购,开放赎回,,,,
2021-11-23,0.9720,1.7200,,,1,0.83,开放申购,开放赎回,,,,
2021-11-22,0.9640,1.7150,,,1,-2.72,开放申购,开放赎回,,,,
2021-11-19,0.9910,1.7320,,,1,3.77,开放申购,开放赎回,,,,
2021-11-18,0.9550,1.7100,,,1,-1.75,开放申购,开放赎回,,,,
2021-11-17,0.9720,1.7200,,,1,-0.10,开放申购,开放赎回,,,,
2021-11-16,0.9730,1.7210,,,1,-0.61,开放申购,开放赎回,,,,
2021-11-15,0.9790,1.7250,,,1,-0.91,开放申购,开放赎回,,,,
2021-11-12,0.9880,1.7300,,,1,-1.10,开放申购,开放赎回,,,,
2021-11-11,0.9990,1.7370,,,1,6.62,开放申购,开放赎回,,,,
2021-11-10,0.9370,1.6980,,,1,3.54,开放申购,开放赎回,,,,
2021-11-09,0.9050,1.6780,,,1,0.00,开放申购,开放赎回,,,,
2021-11-08,0.9050,1.6780,,,1,0.89,开放申购,开放赎回,,,,
2021-11-05,0.8970,1.6730,,,1,-1.75,开放申购,开放赎回,,,,
2021-11-04,0.9130,1.6830,,,1,-0.87,开放申购,开放赎回,,,,
2021-11-03,0.9210,1.6880,,,1,1.77,开放申购,开放赎回,,,,
2021-11-02,0.9050,1.6780,,,1,-2.27,开放申购,开放赎回,,,,
2021-11-01,0.9260,1.6910,,,1,-1.07,开放申购,开放赎回,,,,
2021-10-29,0.9360,1.6980,,,1,-1.99,开放申购,开放赎回,,,,
2021-10-28,0.9550,1.7100,,,1,-2.25,开放申购,开放赎回,,,,
2021-10-27,0.9770,1.7240,,,1,-1.11,开放申购,开放赎回,,,,
2021-10-26,0.9880,1.7300,,,1,-1.98,开放申购,开放赎回,,,,
2021-10-25,1.0080,1.7430,,,1,-2.14,开放申购,开放赎回,,,,
2021-10-22,1.0300,1.7570,,,1,1.88,开放申购,开放赎回,,,,
2021-10-21,1.0110,1.7450,,,1,2.33,开放申购,开放赎回,,,,
2021-10-20,0.9880,1.7300,,,1,-0.80,开放申购,开放赎回,,,,
2021-10-19,0.9960,1.7360,,,1,-0.70,开放申购,开放赎回,,,,
2021-10-18,1.0030,1.7400,,,1,-1.57,开放申购,开放赎回,,,,
2021-10-15,1.0190,1.7500,,,1,-0.29,开放申购,开放赎回,,,,
2021-10-14,1.0220,1.7520,,,1,-2.57,开放申购,开放赎回,,,,
2021-10-13,1.0490,1.7690,,,1,-0.57,开放申购,开放赎回,,,,
2021-10-12,1.0550,1.7730,,,1,0.76,开放申购,开放赎回,,,,
2021-10-11,1.0470,1.7680,,,1,1.16,开放申购,开放赎回,,,,
2021-10-08,1.0350,1.7600,,,1,-0.86,开放申购,开放赎回,,,,
