净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2022-03-30,1.107,1.805,5.73%,开放申购,开放赎回,
2022-03-29,1.047,1.768,-1.78%,开放申购,开放赎回,
2022-03-28,1.066,1.78,2.30%,开放申购,开放赎回,
2022-03-25,1.042,1.764,-0.38%,开放申购,开放赎回,
2022-03-24,1.046,1.767,-1.23%,开放申购,开放赎回,
2022-03-23,1.059,1.775,2.22%,开放申购,开放赎回,
2022-03-22,1.036,1.761,3.70%,开放申购,开放赎回,
2022-03-21,0.999,1.737,-1.09%,开放申购,开放赎回,
2022-03-18,1.01,1.744,5.10%,开放申购,开放赎回,
2022-03-17,0.961,1.713,3.89%,开放申购,开放赎回,
2022-03-16,0.925,1.691,2.89%,开放申购,开放赎回,
2022-03-15,0.899,1.674,-7.70%,开放申购,开放赎回,
2022-03-14,0.974,1.722,-1.52%,开放申购,开放赎回,
2022-03-11,0.989,1.731,0.30%,开放申购,开放赎回,
2022-03-10,0.986,1.729,0.31%,开放申购,开放赎回,
2022-03-09,0.983,1.727,-3.53%,开放申购,开放赎回,
2022-03-08,1.019,1.75,-3.23%,开放申购,开放赎回,
2022-03-07,1.053,1.771,0.10%,开放申购,开放赎回,
2022-03-04,1.052,1.771,-0.94%,开放申购,开放赎回,
2022-03-03,1.062,1.777,2.12%,开放申购,开放赎回,
2021-12-28,1.031,1.758,-0.39%,开放申购,开放赎回,
2021-12-27,1.035,1.76,0.78%,开放申购,开放赎回,
2021-12-24,1.027,1.755,-0.10%,开放申购,开放赎回,
2021-12-23,1.028,1.756,-0.87%,开放申购,开放赎回,
2021-12-22,1.037,1.761,-1.33%,开放申购,开放赎回,
2021-12-21,1.051,1.77,4.58%,开放申购,开放赎回,
2021-12-20,1.005,1.741,0.50%,开放申购,开放赎回,
2021-12-17,1.0,1.738,-0.10%,开放申购,开放赎回,
2021-12-16,1.001,1.739,0.70%,开放申购,开放赎回,
2021-12-15,0.994,1.734,0.81%,开放申购,开放赎回,
2021-12-14,0.986,1.729,-1.60%,开放申购,开放赎回,
2021-12-13,1.002,1.739,-1.09%,开放申购,开放赎回,
2021-12-10,1.013,1.746,-1.46%,开放申购,开放赎回,
2021-12-09,1.028,1.756,2.19%,开放申购,开放赎回,
2021-12-08,1.006,1.742,-0.10%,开放申购,开放赎回,
2021-12-07,1.007,1.742,1.41%,开放申购,开放赎回,
2021-12-06,0.993,1.734,0.81%,开放申购,开放赎回,
2021-12-03,0.985,1.729,1.34%,开放申购,开放赎回,
2021-12-02,0.972,1.72,0.93%,开放申购,开放赎回,
2021-12-01,0.963,1.715,1.69%,开放申购,开放赎回,
2021-11-30,0.947,1.705,-0.63%,开放申购,开放赎回,
2021-11-29,0.953,1.708,-1.24%,开放申购,开放赎回,
2021-11-26,0.965,1.716,-0.92%,开放申购,开放赎回,
2021-11-25,0.974,1.722,-0.71%,开放申购,开放赎回,
2021-11-24,0.981,1.726,0.93%,开放申购,开放赎回,
2021-11-23,0.972,1.72,0.83%,开放申购,开放赎回,
2021-11-22,0.964,1.715,-2.72%,开放申购,开放赎回,
2021-11-19,0.991,1.732,3.77%,开放申购,开放赎回,
2021-11-18,0.955,1.71,-1.75%,开放申购,开放赎回,
